,news_media,positive,neutral,negative,compound,create_date,tweets_ago
0,nytimes,0.277,0.723,0.0,0.7845,2018-07-22 17:08:04+00:00,0
1,nytimes,0.087,0.72,0.193,-0.4215,2018-07-22 16:58:06+00:00,-1
2,nytimes,0.061,0.351,0.588,-0.9584,2018-07-22 16:48:01+00:00,-2
3,nytimes,0.13,0.87,0.0,0.4019,2018-07-22 16:38:03+00:00,-3
4,nytimes,0.13,0.87,0.0,0.5106,2018-07-22 16:28:02+00:00,-4
5,nytimes,0.158,0.642,0.2,-0.0258,2018-07-22 16:18:04+00:00,-5
6,nytimes,0.083,0.917,0.0,0.2023,2018-07-22 16:08:05+00:00,-6
7,nytimes,0.31,0.69,0.0,0.5574,2018-07-22 15:58:02+00:00,-7
8,nytimes,0.0,0.885,0.115,-0.3818,2018-07-22 15:48:04+00:00,-8
9,nytimes,0.0,0.909,0.091,-0.25,2018-07-22 15:31:47+00:00,-9
10,nytimes,0.093,0.653,0.254,-0.6647,2018-07-22 15:28:05+00:00,-10
11,nytimes,0.0,1.0,0.0,0.0,2018-07-22 15:18:02+00:00,-11
12,nytimes,0.149,0.851,0.0,0.4215,2018-07-22 15:08:06+00:00,-12
13,nytimes,0.171,0.829,0.0,0.3612,2018-07-22 14:58:03+00:00,-13
14,nytimes,0.208,0.705,0.087,0.5574,2018-07-22 14:48:02+00:00,-14
15,nytimes,0.0,1.0,0.0,0.0,2018-07-22 14:38:06+00:00,-15
16,nytimes,0.0,1.0,0.0,0.0,2018-07-22 14:28:00+00:00,-16
17,nytimes,0.0,1.0,0.0,0.0,2018-07-22 14:18:05+00:00,-17
18,nytimes,0.129,0.726,0.145,-0.1027,2018-07-22 14:08:03+00:00,-18
19,nytimes,0.0,1.0,0.0,0.0,2018-07-22 13:59:38+00:00,-19
20,nytimes,0.0,1.0,0.0,0.0,2018-07-22 13:58:06+00:00,-20
21,nytimes,0.087,0.913,0.0,0.3182,2018-07-22 13:48:04+00:00,-21
22,nytimes,0.0,1.0,0.0,0.0,2018-07-22 13:41:58+00:00,-22
23,nytimes,0.0,0.887,0.113,-0.3182,2018-07-22 13:30:11+00:00,-23
24,nytimes,0.0,0.815,0.185,-0.3612,2018-07-22 13:14:12+00:00,-24
25,nytimes,0.0,0.838,0.162,-0.4019,2018-07-22 13:00:15+00:00,-25
26,nytimes,0.0,1.0,0.0,0.0,2018-07-22 12:49:33+00:00,-26
27,nytimes,0.0,1.0,0.0,0.0,2018-07-22 12:42:16+00:00,-27
28,nytimes,0.198,0.802,0.0,0.6072,2018-07-22 12:30:05+00:00,-28
29,nytimes,0.346,0.566,0.088,0.6249,2018-07-22 12:17:59+00:00,-29
30,nytimes,0.067,0.667,0.267,-0.5106,2018-07-22 12:00:09+00:00,-30
31,nytimes,0.246,0.697,0.057,0.6808,2018-07-22 11:30:04+00:00,-31
32,nytimes,0.121,0.879,0.0,0.5106,2018-07-22 11:01:17+00:00,-32
33,nytimes,0.155,0.845,0.0,0.0258,2018-07-22 10:50:28+00:00,-33
34,nytimes,0.0,1.0,0.0,0.0,2018-07-22 10:43:46+00:00,-34
35,nytimes,0.122,0.878,0.0,0.3321,2018-07-22 10:30:07+00:00,-35
36,nytimes,0.0,1.0,0.0,0.0,2018-07-22 10:00:12+00:00,-36
37,nytimes,0.0,1.0,0.0,0.0,2018-07-22 09:36:04+00:00,-37
38,nytimes,0.0,1.0,0.0,0.0,2018-07-22 09:25:16+00:00,-38
